,filename,genres
364,jazz.00056.wav,jazz
955,blues.00064.wav,blues
469,metal.00045.wav,metal
842,disco.00056.wav,disco
312,jazz.00043.wav,jazz
389,jazz.00042.wav,jazz
98,hiphop.00086.wav,hiphop
985,blues.00033.wav,blues
610,classical.00098.wav,classical
539,rock.00001.wav,rock
515,rock.00042.wav,rock
954,blues.00046.wav,blues
952,blues.00063.wav,blues
676,classical.00033.wav,classical
652,classical.00085.wav,classical
271,reggae.00062.wav,reggae
201,reggae.00043.wav,reggae
590,rock.00074.wav,rock
979,blues.00036.wav,blues
383,jazz.00047.wav,jazz
969,blues.00040.wav,blues
575,rock.00050.wav,rock
759,pop.00068.wav,pop
688,classical.00067.wav,classical
784,pop.00058.wav,pop
164,country.00004.wav,country
102,country.00079.wav,country
915,blues.00048.wav,blues
868,disco.00070.wav,disco
702,pop.00025.wav,pop
12,hiphop.00014.wav,hiphop
641,classical.00058.wav,classical
247,reggae.00032.wav,reggae
116,country.00017.wav,country
354,jazz.00065.wav,jazz
493,metal.00001.wav,metal
492,metal.00055.wav,metal
414,metal.00030.wav,metal
695,classical.00047.wav,classical
66,hiphop.00056.wav,hiphop
6,hiphop.00066.wav,hiphop
632,classical.00081.wav,classical
1,hiphop.00041.wav,hiphop
3,hiphop.00088.wav,hiphop
989,blues.00016.wav,blues
613,classical.00043.wav,classical
191,country.00010.wav,country
198,country.00081.wav,country
567,rock.00002.wav,rock
936,blues.00001.wav,blues
920,blues.00087.wav,blues
560,rock.00003.wav,rock
840,disco.00018.wav,disco
984,blues.00054.wav,blues
967,blues.00021.wav,blues
662,classical.00049.wav,classical
917,blues.00024.wav,blues
532,rock.00026.wav,rock
584,rock.00045.wav,rock
537,rock.00004.wav,rock
259,reggae.00092.wav,reggae
823,disco.00099.wav,disco
670,classical.00027.wav,classical
993,blues.00029.wav,blues
899,disco.00009.wav,disco
173,country.00016.wav,country
991,blues.00012.wav,blues
175,country.00035.wav,country
825,disco.00021.wav,disco
230,reggae.00016.wav,reggae
27,hiphop.00084.wav,hiphop
732,pop.00071.wav,pop
946,blues.00051.wav,blues
467,metal.00089.wav,metal
990,blues.00006.wav,blues
822,disco.00048.wav,disco
599,rock.00095.wav,rock
435,metal.00003.wav,metal
216,reggae.00018.wav,reggae
775,pop.00078.wav,pop
